name,Symptoms,General Description,Treatment
Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Conditions affecting the cornea, such as infections, dystrophies, or injuries, leading to vision problems.",Eye drops or ointments for minor issues. Surgery like corneal transplantation for severe damage.
Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract",An object accidentally swallowed and lodged in the gastrointestinal system.,Endoscopic removal of the object. Surgical intervention if complications occur. Observation if it can pass naturally.
Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Severe inflammation of the eye’s interior, often caused by infection.",Intravitreal antibiotics or antifungal agents. Surgical removal of infected tissue. Pain management and supportive care.
Achalasia,Difficulty swallowing,"A disorder affecting the esophagus, where muscles fail to relax, making swallowing difficult.",Medications like nitrates or calcium channel blockers. Endoscopic balloon dilation. Surgical myotomy.
Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound",Hearing loss due to problems with sound transmission in the outer or middle ear.,Treat underlying causes like earwax or infections. Hearing aids. Surgery in cases of structural damage.
Abdominal Hernia,"Visible bulge or swelling, discomfort or pain",A bulge in the abdomen caused by organs pushing through weakened muscle or tissue.,Surgical repair to close the hernia. Lifestyle changes to reduce strain.
Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety",Excessive use of marijuana leading to dependency and negative effects on daily functioning.,Behavioral therapy. Support groups. Lifestyle modifications to reduce dependency.
Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia","A fungal infection caused by Cryptococcus, often affecting the lungs or central nervous system.",Antifungal medications like amphotericin B and fluconazole. Supportive care for severe cases.
Obesity,"Excessive body weight, increased risk of chronic conditions",A condition characterized by excessive body fat that increases the risk of health problems.,Dietary modifications and regular exercise. Behavioral therapy. Medications or bariatric surgery in severe cases.
Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste",Discomfort or pain in the upper abdomen due to digestive issues.,Antacids or proton pump inhibitors. Dietary adjustments. Avoiding triggers like caffeine and alcohol.
Bursitis,"Joint pain, swelling, tenderness, limited range of motion","Inflammation of the bursae, small fluid-filled sacs that cushion joints.",Rest and ice application. Anti-inflammatory medications. Aspiration or steroid injections for severe cases.
Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Malignant tumor in the esophagus, often associated with smoking or chronic acid reflux.",Surgery to remove the tumor. Chemotherapy or radiation therapy. Endoscopic treatments for early-stage cancer.
Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Accumulation of fluid in the lungs, often due to heart failure.",Diuretics to remove excess fluid. Treating underlying heart conditions. Oxygen therapy if needed.
Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash",A chronic autoimmune condition in children causing joint inflammation and stiffness.,NSAIDs or disease-modifying antirheumatic drugs (DMARDs). Physical therapy. Corticosteroids for severe cases.
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas",Precancerous skin lesions caused by prolonged sun exposure.,Cryotherapy or laser treatment. Topical medications like 5-fluorouracil. Regular monitoring for changes.
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","A middle ear infection causing pain, fever, and hearing difficulty.",Pain relievers like acetaminophen. Antibiotics for bacterial infections. Myringotomy for recurrent cases.
Astigmatism,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea",A refractive error causing blurred vision due to an irregularly shaped cornea or lens.,Corrective eyeglasses or contact lenses. Laser surgery for permanent correction.
Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities",A genetic disorder causing benign tumors to grow in various organs.,Regular monitoring and management of symptoms. Medications like mTOR inhibitors. Surgery for severe cases.
Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Accumulation of pus in the pleural cavity, often due to pneumonia or infection.",Antibiotics to treat the infection. Thoracentesis or chest tube drainage. Surgery for severe cases.
Presbycusis,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear",Age-related hearing loss due to gradual degeneration of auditory structures.,Hearing aids. Assistive listening devices. Cochlear implants for severe cases.
Neonatal Jaundice,"Yellowing of the skin and eyes, pale stools, dark urine",Yellowing of a newborn’s skin and eyes due to high bilirubin levels.,Phototherapy to lower bilirubin. Exchange transfusion in severe cases. Monitoring and hydration.
Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","Displacement of bones in the elbow joint, causing pain and deformity.",Manual reduction to reposition the joint. Immobilization with a splint. Physical therapy after recovery.
Spondylosis,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","Degenerative changes in the spine, leading to pain and stiffness.",Physical therapy and exercises. Pain relievers or anti-inflammatory medications. Surgery in severe cases.
Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","A viral infection causing ulcers in the mouth and throat, often in children.",Pain relievers like acetaminophen. Adequate hydration. Supportive care to manage symptoms.
Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress",Toxicity resulting from excessive intake of antidepressant medications.,Gastric lavage or activated charcoal. Supportive care for symptoms. Monitoring in a medical facility.
Infection of Open Wound,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise",Infection of an open skin injury caused by bacteria or other pathogens.,Cleaning and dressing the wound. Antibiotics if infection is severe. Surgical debridement if needed.
Protein Deficiency,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","A lack of adequate protein intake, leading to muscle wasting and weakened immunity.",Dietary supplementation with protein-rich foods. Use of protein powders if necessary. Addressing underlying conditions.
Myoclonus,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face","Sudden, involuntary muscle jerks, which can occur due to various neurological conditions.","Identify and treat the underlying cause. Use medications like clonazepam or valproate to control symptoms. Adjust lifestyle factors, such as avoiding triggers like stress or caffeine. Perform deep brain stimulation for severe or treatment-resistant cases."
Bone Spur of the Calcaneus,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue",Bony growth on the heel bone that may cause pain during walking or standing.,Orthotic inserts or heel pads. Physical therapy. Pain relievers. Surgery in severe cases.
Von Willebrand Disease,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool",A genetic bleeding disorder caused by a deficiency or dysfunction of von Willebrand factor.,Desmopressin to release stored von Willebrand factor. Clotting factor concentrates. Avoidance of blood-thinning medications.
Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Disruption in the heart's electrical system, leading to abnormal heart rhythms.",Monitoring for mild cases. Pacemaker implantation for severe cases. Treating underlying conditions.
Colonic Polyp,"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.","Growths on the inner lining of the colon, which may become cancerous over time.",Removal during a colonoscopy. Regular monitoring for recurrence. Lifestyle modifications to reduce risk.
Hypospadias,"Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination",A congenital condition where the urethra opens on the underside of the penis instead of at the tip.,Surgical correction during early childhood. Monitoring for urinary or reproductive issues.
Magnesium Deficiency,"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","Low magnesium levels in the body, leading to muscle cramps, fatigue, or arrhythmias.",Magnesium supplements. Dietary intake of magnesium-rich foods. Treating underlying causes.
Female Infertility of Unknown Cause,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other",Difficulty in conceiving with no identifiable medical cause.,Assisted reproductive techniques like IVF. Lifestyle modifications. Fertility medications.
Pericarditis,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Inflammation of the pericardium, the protective sac around the heart.",NSAIDs or corticosteroids. Colchicine to reduce recurrence. Pericardiocentesis for fluid removal.
Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity","A neurodevelopmental disorder characterized by inattention, hyperactivity, and impulsivity.",Stimulant medications like methylphenidate. Behavioral therapy. Organizational support strategies.
Neuromyelitis Optica,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)",An autoimmune disorder affecting the optic nerves and spinal cord,Immunosuppressive medications. Corticosteroids during acute attacks. Plasma exchange for severe relapses.
Pulmonic Valve Disease,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","A condition affecting the pulmonary valve of the heart, leading to improper blood flow.",Balloon valvuloplasty for stenosis. Valve replacement surgery. Treating associated heart conditions.
Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Inflammation of the costal cartilage, causing chest pain and swelling.",NSAIDs or pain relievers. Ice or heat application. Physical therapy for persistent pain.
Cranial Nerve Palsy,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","Dysfunction of one or more cranial nerves, leading to neurological deficits.",Addressing underlying causes like infection or trauma. Physical therapy. Surgery for compressive lesions.
Conversion Disorder,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking",A psychological condition where emotional distress manifests as physical symptoms.,"Psychotherapy, including cognitive-behavioral therapy. Stress management techniques. Supportive care for physical symptoms."
Complex Regional Pain Syndrome,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","A chronic pain condition typically following an injury, affecting a limb.",Physical therapy. Medications like pain relievers and nerve blocks. Psychological support.
Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","Abnormal bone growth in the middle ear, leading to hearing loss.",Hearing aids. Surgical procedures like stapedectomy. Fluoride therapy in some cases.
Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels",A condition where the thyroid gland does not produce enough thyroid hormone.,Levothyroxine hormone replacement therapy. Regular monitoring of thyroid levels.
Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating",Difficulty initiating or maintaining sleep not attributed to other conditions.,Cognitive-behavioral therapy for insomnia. Sleep hygiene improvements. Short-term use of sleep aids if necessary.
Lice,Itching and visible presence of lice or nits (eggs) in the hair,Infestation of the scalp or body by parasitic insects causing itching and irritation.,Over-the-counter or prescription lice shampoos. Fine-toothed combing to remove nits. Cleaning and treating affected clothing and bedding.
Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","A condition caused by insufficient vitamin B12, which is essential for red blood cell production, nerve function, and DNA synthesis. Common symptoms include fatigue, weakness, numbness, and cognitive disturbances.","Vitamin B12 supplementation via oral, sublingual, or injectable forms. Dietary changes to include B12-rich foods like meat, fish, eggs, and dairy. Treating underlying causes (e.g., pernicious anemia or malabsorption disorders)."
Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Chronic vulvar pain or discomfort without an identifiable cause, often described as burning, stinging, or rawness.","Topical anesthetics (e.g., lidocaine). Physical therapy for pelvic floor muscles. Oral medications such as tricyclic antidepressants or anticonvulsants. Cognitive-behavioral therapy (CBT). Lifestyle modifications, including avoiding irritants."
Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","A condition in which tissue similar to the uterine lining grows outside the uterus, causing pain, heavy menstrual bleeding, and fertility issues.","Nonsteroidal anti-inflammatory drugs (NSAIDs). Hormonal therapies like oral contraceptives, progestins, or gonadotropin-releasing hormone (GnRH) agonists. Surgical removal of endometrial tissue. Assisted reproductive techniques for infertility."
Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Inflammation of blood vessels, which can restrict blood flow and damage organs and tissues. It can be primary or secondary to other diseases.","Corticosteroids (e.g., prednisone). Immunosuppressive drugs (e.g., methotrexate, cyclophosphamide). Biologic therapies (e.g., rituximab). Treating underlying infections or triggers."
Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","A mild traumatic brain injury caused by a blow to the head, leading to symptoms such as headache, confusion, memory issues, and dizziness.",Rest and gradual return to activities. Pain management with acetaminophen or NSAIDs. Monitoring for worsening symptoms and seeking medical evaluation if needed.
Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","White patches on the mucous membranes of the mouth, potentially precancerous, often linked to tobacco or alcohol use.",Eliminating risk factors like smoking and alcohol. Regular monitoring for changes. Surgical removal of suspicious patches. Laser therapy or cryotherapy for larger lesions.
Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Progressive loss of kidney function over time, leading to waste accumulation in the body, fluid imbalance, and potential organ damage.","Lifestyle modifications, including a low-sodium, kidney-friendly diet. Medications to control blood pressure, blood sugar, and cholesterol. Dialysis in advanced stages. Kidney transplantation."
Bladder Disorder,"Frequent urination, urgency, pelvic pain","A broad category encompassing conditions like overactive bladder, interstitial cystitis, or urinary incontinence.",Behavioral therapies such as bladder training. Medications like anticholinergics or beta-3 adrenergic agonists. Pelvic floor exercises. Surgery for severe cases.
Chorioretinitis,"Eye pain, blurred vision, sensitivity to light","Inflammation of the choroid and retina, often due to infections like toxoplasmosis or autoimmune conditions, causing vision disturbances.",Antibiotics or antivirals for infectious causes. Corticosteroids to reduce inflammation. Immunosuppressive therapy for autoimmune-related cases.
Priapism,"Persistent, painful erection","A prolonged and painful erection unrelated to sexual stimulation, potentially causing permanent damage to erectile tissue.","Aspiration of blood from the penis. Intracavernosal injection of vasoconstrictive agents (e.g., phenylephrine). Surgery to relieve trapped blood in severe cases. Treating underlying conditions like sickle cell anemia."
Myositis,"Muscle weakness, pain, inflammation","Inflammation of the muscles, which can result from autoimmune disorders, infections, or drug reactions, leading to weakness and fatigue.","Corticosteroids. Immunosuppressive drugs (e.g., methotrexate, azathioprine). Physical therapy. Treating underlying infections or triggers."
Mononucleosis,"Fatigue, sore throat, swollen lymph nodes","A viral infection commonly caused by the Epstein-Barr virus (EBV), characterized by fatigue, fever, sore throat, and swollen lymph nodes.",Rest and hydration. Pain relief with acetaminophen or NSAIDs. Avoiding strenuous activity to prevent spleen rupture. Symptomatic treatment.
Neuralgia,"Sharp, shooting pain along the affected nerve","Intense nerve pain often caused by damage or irritation of nerves, such as trigeminal neuralgia or postherpetic neuralgia.","Anticonvulsants (e.g., carbamazepine, gabapentin). Topical treatments like lidocaine patches or capsaicin cream. Surgery for refractory cases. Nerve blocks."
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts","A genetic disorder causing multiple cysts in the kidneys, leading to impaired kidney function and hypertension.",Blood pressure control with ACE inhibitors or ARBs. Pain management. Treating urinary tract infections. Dialysis or kidney transplantation in advanced stages.
Bipolar Disorder,"Mood swings, manic episodes, depressive episodes",A mental health condition characterized by mood swings between manic and depressive episodes.,"Mood stabilizers (e.g., lithium). Antipsychotic medications. Antidepressants in combination with mood stabilizers. Psychotherapy, including CBT. Lifestyle modifications for stress management."
Amyloidosis,"Fatigue, weight loss, organ dysfunction","A rare condition characterized by abnormal protein (amyloid) deposits in tissues and organs, impairing their function.","Chemotherapy for AL amyloidosis. Targeted treatments like tafamidis for ATTR amyloidosis. Organ-specific treatments (e.g., dialysis for kidney involvement). Stem cell transplantation in select cases."
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Weakness, numbness, tingling in limbs","A rare autoimmune disorder causing inflammation and damage to the myelin sheath of peripheral nerves, leading to progressive weakness and sensory impairment.","Corticosteroids (e.g., prednisone). Intravenous immunoglobulin (IVIG). Plasma exchange (plasmapheresis). Immunosuppressive drugs (e.g., azathioprine or rituximab). Physical therapy for rehabilitation."
Gastroesophageal Reflux Disease (GERD),"Heartburn, acid reflux, chest pain","A digestive disorder where stomach acid flows back into the esophagus, causing symptoms like heartburn, regurgitation, and chest discomfort.","Lifestyle modifications (e.g., weight loss, avoiding trigger foods). Antacids for symptom relief. H2 receptor blockers (e.g., ranitidine). Proton pump inhibitors (PPIs, e.g., omeprazole). Surgery (e.g., fundoplication) for severe or refractory cases."
Vitreous Hemorrhage,"Floaters in vision, blurry vision, eye pain","Bleeding into the vitreous humor of the eye, often caused by trauma, retinal tears, or diabetic retinopathy, leading to vision loss or floaters.",Observation if the hemorrhage is minor and resolves spontaneously. Laser therapy or cryotherapy for retinal tears. Vitrectomy surgery for severe or persistent cases.
Antimicrobial Drugs Poisoning,"Nausea, vomiting, diarrhea, neurological symptoms","Toxic effects from excessive or inappropriate use of antimicrobial drugs, causing symptoms like nausea, vomiting, organ damage, or allergic reactions.","Immediate cessation of the offending drug. Supportive care, including hydration and electrolyte management. Administration of activated charcoal if ingestion is recent. Specific antidotes or treatments based on the antimicrobial agent involved."
Scleroderma,"Thickening of the skin, Raynaud's phenomenon","A chronic autoimmune disease causing hardening and thickening of the skin and connective tissues, potentially affecting internal organs.","Immunosuppressive medications (e.g., methotrexate, mycophenolate mofetil). Vasodilators for Raynaud's phenomenon. Proton pump inhibitors for gastrointestinal symptoms. Physical therapy. Organ-specific management."
Myasthenia Gravis,"Muscle weakness, fatigue, difficulty speaking","A chronic autoimmune disorder causing weakness in voluntary muscles, particularly after activity, due to impaired communication at the neuromuscular junction.","Anticholinesterase medications (e.g., pyridostigmine). Corticosteroids or other immunosuppressive drugs. Plasma exchange or IVIG for severe cases. Thymectomy surgery if a thymoma is present."
Hypoglycemia,"Shaking, dizziness, confusion, sweating","Low blood sugar levels, often due to diabetes medication, prolonged fasting, or excessive physical activity, causing symptoms like shakiness, confusion, and sweating.","Immediate consumption of glucose (e.g., glucose tablets, juice). Adjusting insulin or diabetes medications. Addressing underlying causes. Glucagon injection for severe cases."
Idiopathic Absence of Menstruation,Lack of menstrual periods,"The absence of menstrual periods without a clear cause, potentially linked to hormonal imbalances, stress, or structural issues.","Hormone replacement therapy for deficiencies. Treating underlying conditions like polycystic ovary syndrome or thyroid disorders. Lifestyle modifications, such as reducing stress or achieving a healthy weight."
Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight","A displacement of the bones in the ankle joint, usually caused by trauma, often accompanied by ligament damage.",Reduction to realign the joint. Immobilization with a splint or cast. Pain management with NSAIDs. Physical therapy for recovery. Surgery for severe ligament or bone damage.
Carbon Monoxide Poisoning,"Headache, dizziness, nausea, confusion","A potentially life-threatening condition caused by inhaling carbon monoxide gas, leading to oxygen deprivation in tissues and organs.",Immediate removal from exposure to carbon monoxide. Administration of 100% oxygen via a mask. Hyperbaric oxygen therapy for severe cases. Monitoring and supportive care for complications.
Panic Attack,"Chest pain, shortness of breath, palpitations","Sudden and intense episodes of fear or anxiety, often accompanied by physical symptoms like palpitations, shortness of breath, and dizziness.",Cognitive-behavioral therapy (CBT). Medications such as selective serotonin reuptake inhibitors (SSRIs). Breathing exercises and relaxation techniques. Benzodiazepines for short-term relief in acute situations.
Plantar Fasciitis,"Heel pain, tenderness, difficulty walking","Inflammation of the plantar fascia, causing heel pain, especially in the morning or after prolonged activity.",Rest and ice application. Stretching exercises for the foot and calf. Orthotic inserts or supportive footwear. NSAIDs for pain relief. Corticosteroid injections for severe cases. Physical therapy or shockwave therapy.
Hyperopia,"Difficulty seeing objects up close, blurred vision when focusing on near objects","A refractive error where distant objects are seen more clearly than near ones, due to the eye focusing light behind the retina.","Corrective lenses (glasses or contact lenses). Refractive surgery (e.g., LASIK or PRK). Regular eye exams to monitor changes."
Sedatives Poisoning,"Drowsiness, confusion, slowed breathing","Overdose or toxic exposure to sedative medications, leading to drowsiness, respiratory depression, and impaired motor function.","Activated charcoal if ingestion is recent. Supportive care, including airway management and monitoring. Flumazenil for benzodiazepine overdose. Hospitalization for severe cases."
Pemphigus,Painful blisters on the skin and mucous membranes,"A group of rare autoimmune disorders causing blistering of the skin and mucous membranes, often painful and potentially life-threatening.","Corticosteroids (e.g., prednisone). Immunosuppressive drugs (e.g., azathioprine, rituximab). Antibiotics or antifungals for secondary infections. Wound care and supportive therapy."
Peyronie Disease,"Curvature of the penis, pain during erections","A condition characterized by fibrous scar tissue developing in the penis, causing curvature, pain, and difficulty with erections.","Oral medications such as pentoxifylline. Intralesional injections (e.g., collagenase clostridium histolyticum). Stretching devices or penile traction therapy. Surgery for severe cases."
Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing","A condition where part of the stomach bulges through the diaphragm into the chest cavity, often causing heartburn and reflux.","Lifestyle modifications, such as eating smaller meals and avoiding trigger foods. Proton pump inhibitors (PPIs) or H2 blockers. Surgery (e.g., fundoplication) for large or symptomatic hernias."
Extrapyramidal Effect of Drugs,"Muscle stiffness, tremors, involuntary movements","Side effects caused by medications, particularly antipsychotics, leading to involuntary movements, tremors, rigidity, or restlessness.","Discontinuation or adjustment of the offending drug. Administration of anticholinergic agents (e.g., benztropine). Dopamine agonists or benzodiazepines for symptom relief."
Meniere Disease,"Vertigo, hearing loss, tinnitus, ear fullness","A disorder of the inner ear causing episodes of vertigo, hearing loss, tinnitus, and a feeling of ear fullness.","Low-sodium diet. Diuretics to reduce fluid buildup. Vestibular suppressants (e.g., meclizine). Steroid injections into the middle ear. Surgery for refractory cases."
Anal Fissure,"Pain during bowel movements, rectal bleeding","A small tear in the lining of the anus, often causing pain and bleeding during bowel movements.","Increased dietary fiber and fluids to soften stools. Topical anesthetics for pain relief. Nitroglycerin ointment or calcium channel blockers to relax anal muscles. Surgery (e.g., lateral internal sphincterotomy) for chronic cases."
Chronic Otitis Media,"Ear pain, hearing loss, recurrent ear infections","Persistent inflammation or infection of the middle ear, often leading to hearing loss, drainage, or complications.","Antibiotic drops or oral antibiotics. Myringotomy with or without tympanostomy tubes. Surgery to repair eardrum or remove infected tissue (e.g., mastoidectomy)."
Hirschsprung Disease,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)","A congenital condition where missing nerve cells in parts of the colon cause difficulty in passing stool, leading to severe constipation or intestinal blockage.",Surgical removal of the affected portion of the bowel. Temporary colostomy in severe cases. Monitoring for complications like enterocolitis.
Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue","An inflammatory disorder causing muscle pain and stiffness, especially in the shoulders and hips, commonly associated with giant cell arteritis.","Low-dose corticosteroids (e.g., prednisone). Nonsteroidal anti-inflammatory drugs (NSAIDs) for mild cases. Physical therapy to maintain mobility."
Lymphedema,"Swelling in arms or legs, feeling of heaviness or tightness","Swelling due to lymphatic system blockage, often occurring in the arms or legs after surgery, radiation, or infection.",Compression therapy with bandages or garments. Manual lymphatic drainage massage. Exercise to promote lymph flow. Surgery in severe or refractory cases.
Bladder Cancer,"Blood in urine, frequent urination, pelvic pain","A malignancy of the bladder lining, commonly presenting with blood in urine, frequent urination, or pelvic pain.","Transurethral resection of bladder tumor (TURBT). Intravesical therapy (e.g., BCG or chemotherapy). Radical cystectomy for advanced cases. Systemic chemotherapy or immunotherapy for metastatic disease."
Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Sudden constriction of the airways, causing wheezing, shortness of breath, and chest tightness, often triggered by asthma or allergies.","Inhaled bronchodilators (e.g., albuterol). Corticosteroids to reduce inflammation. Oxygen therapy if needed. Addressing and removing triggers."
Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights","A sudden increase in intraocular pressure, often due to angle-closure glaucoma, causing severe eye pain, redness, and vision loss.","Medications to lower intraocular pressure (e.g., acetazolamide, beta-blockers). Laser therapy or surgical procedures (e.g., laser iridotomy). Emergency intervention to prevent permanent vision loss."
Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg","Displacement of the kneecap from its normal position, often caused by trauma or congenital ligament laxity.",Manual reduction of the dislocation. Immobilization with a brace. Physical therapy to strengthen supporting muscles. Surgery for recurrent dislocations or ligament damage.
Sciatica,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","Pain radiating along the sciatic nerve, often due to compression or inflammation during pregnancy.",Gentle stretches and physical therapy. Heat or cold packs for pain relief. Pain relievers if prescribed.
Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones","Elevated calcium levels in the blood, often due to hyperparathyroidism, malignancy, or excessive vitamin D intake, causing symptoms like fatigue, nausea, and confusion.","Hydration with intravenous fluids. Bisphosphonates or calcitonin to reduce calcium levels. Treating underlying causes (e.g., parathyroid surgery for hyperparathyroidism)."
Stress Incontinence,Unintentional urine leakage during physical activity,"Involuntary leakage of urine during activities that increase abdominal pressure, such as coughing, sneezing, or lifting.","Pelvic floor exercises (Kegels). Vaginal pessaries. Medications like duloxetine. Surgery (e.g., midurethral sling) for severe cases."
Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination",Fluid-filled sacs in the kidney that are noncancerous and usually asymptomatic but can occasionally cause pain or complications.,Observation if asymptomatic. Aspiration and sclerotherapy for symptomatic cysts. Surgical removal for large or complicated cysts.
Hydrocele of the Testicle,Swelling of the scrotum," A fluid-filled sac around a testicle, leading to painless swelling in the scrotum, often congenital or caused by injury or infection.",Observation if asymptomatic. Aspiration of fluid. Surgical repair (hydrocelectomy) for persistent or symptomatic cases.
Hirsutism,Excessive hair growth in women,"Excessive hair growth in women in a male pattern (e.g., on the face, chest, or back) often due to hormonal imbalances like polycystic ovary syndrome (PCOS).","Oral contraceptives to regulate hormones. Anti-androgen medications (e.g., spironolactone). Hair removal techniques (e.g., laser therapy, electrolysis). Treating underlying conditions."
Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen","Swelling of a kidney due to urine buildup caused by obstruction or reflux, potentially leading to pain and infection.","Relieving the obstruction with stents or catheters. Surgery to correct anatomical issues (e.g., ureteropelvic junction repair). Treating underlying causes, such as kidney stones or infections."
Diverticulosis,"Abdominal pain, bloating, changes in bowel movements","Small, bulging pouches (diverticula) in the colon wall, usually asymptomatic but sometimes causing mild cramping or bloating.",High-fiber diet to prevent symptoms. Increased water intake. Monitoring for complications like diverticulitis.
Pain after an Operation,"Surgical site pain, discomfort, swelling","Postoperative pain resulting from tissue damage, inflammation, or nerve irritation.","Pain management with acetaminophen, NSAIDs, or opioids. Ice or heat application. Physical therapy if needed. Nerve blocks or epidural anesthesia for severe pain."
Huntington Disease,"Motor, cognitive, and psychiatric symptoms","A genetic neurodegenerative disorder causing progressive movement issues, cognitive decline, and psychiatric symptoms.","Symptom management with medications like tetrabenazine for chorea. Antidepressants or antipsychotics for mood disorders. Supportive therapies, including physical and occupational therapy. Genetic counseling for families."
West Nile Virus,"Fever, headache, body aches, rash","A viral infection transmitted by mosquitoes, often asymptomatic but sometimes causing fever, headache, and severe neurological symptoms.","Supportive care, including hydration and pain relief. Hospitalization and intravenous fluids for severe cases. Monitoring for complications like meningitis or encephalitis."
